"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "YAML", "CSS", "HTML", "JavaScript React", "Less", "comment", "blank", "total"
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\RoomArrangements.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 4, 57
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\SocialInteractionDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 146, 0, 3, 12, 161
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\TaskDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 241, 0, 8, 23, 272
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\TeamDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 97, 0, 4, 7, 108
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\UIOverview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 6, 59
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\pictureIntro\PictureGoBonus.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 7, 101
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\pictureIntro\PictureGoGame.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 98, 0, 2, 7, 107
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\pictureIntro\PictureGoTeam.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 7, 107
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\pictureIntro\PictureIntro.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 504, 0, 28, 26, 558
"d:\TT-knight\Master\My Programming\Meteor\mymeteor\room-assignment-csop-main\client\intro\simpleIntro\Consent.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 92, 0, 195, 25, 312
